"id_cliente","provincia","edad","antiguedad_meses","canal_adquisicion","tipo_poliza","prima_mensual_usd","siniestros_reclamados","score_satisfaccion","churn","Total_Primas_Provincia","Porcentaje_Aporte_Cliente","Ranking_Costo_Provincia","en_riesgo_critico","cartera_vencida_usd","rango_edad"
"EC-10013","Azuay",62,19,"Banca Seguros","Familiar Estándar",102.18,1,2,"No",16510.84,0.618866150965063,85,0,0,"56+ Adultos Mayores"
"EC-10014","Pichincha",28,16,"Asesor Directo","Individual Premium",163.97,1,4,"No",59669.67,0.274796223944258,61,0,0,"18-30 Jóvenes"
"EC-10015","Pichincha",68,19,"Banca Seguros","Individual Premium",33.14,0,4,"No",59669.67,0.0555391038696879,528,0,0,"56+ Adultos Mayores"
"EC-10016","Guayas",47,33,"Asesor Directo","Individual Premium",131.9,1,4,"Si",53241.88,0.247737307548118,160,0,0,"31-55 Adultos"
"EC-10017","Pichincha",65,24,"Asesor Directo","Familiar Estándar",130.66,1,5,"No",59669.67,0.218972218214044,178,0,0,"56+ Adultos Mayores"
"EC-10018","Pichincha",60,27,"Asesor Directo","Corporativo Empresarial",121.96,0,5,"No",59669.67,0.204391946528278,212,0,0,"56+ Adultos Mayores"
"EC-10019","Pichincha",67,4,"Broker Digital","Individual Premium",90.43,0,5,"No",59669.67,0.151551030867106,328,0,0,"56+ Adultos Mayores"
"EC-10020","Pichincha",20,39,"Asesor Directo","Familiar Estándar",138.44,0,4,"No",59669.67,0.232010668066373,143,0,0,"18-30 Jóvenes"
"EC-10021","Pichincha",59,5,"Asesor Directo","Individual Premium",171.13,0,2,"No",59669.67,0.286795619952314,30,0,0,"56+ Adultos Mayores"
"EC-10022","Pichincha",39,45,"Broker Digital","Individual Premium",146.51,0,3,"No",59669.67,0.245535126974894,115,0,0,"31-55 Adultos"
"EC-10023","Pichincha",35,5,"Banca Seguros","Individual Premium",107.19,4,3,"Si",59669.67,0.17963900252842,269,0,0,"31-55 Adultos"
"EC-10024","Guayas",49,52,"Broker Digital","Familiar Estándar",99.51,0,3,"No",53241.88,0.18690173975825,257,0,0,"31-55 Adultos"
"EC-10025","Pichincha",23,43,"Asesor Directo","Familiar Estándar",19.22,0,2,"Si",59669.67,0.0322106691724623,580,0,0,"18-30 Jóvenes"
"EC-10026","Guayas",64,29,"Asesor Directo","Familiar Estándar",171.74,0,4,"Si",53241.88,0.322565619395859,27,0,0,"56+ Adultos Mayores"
"EC-10027","Pichincha",39,32,"Banca Seguros","Familiar Estándar",108.6,0,3,"No",59669.67,0.182002012077493,264,0,0,"31-55 Adultos"
"EC-10028","Pichincha",46,20,"Asesor Directo","Individual Premium",20.99,0,3,"Si",59669.67,0.035177000308532,572,0,0,"31-55 Adultos"
"EC-10029","Guayas",62,19,"Asesor Directo","Corporativo Empresarial",69.85,1,3,"No",53241.88,0.131193714421805,353,0,0,"56+ Adultos Mayores"
"EC-10030","Manabí",63,1,"Asesor Directo","Familiar Estándar",151.59,0,4,"Si",11778.96,1.28695572444426,17,0,0,"56+ Adultos Mayores"
"EC-10031","Pichincha",56,54,"Banca Seguros","Familiar Estándar",20.94,1,2,"Si",59669.67,0.0350932056436712,573,0,0,"56+ Adultos Mayores"
"EC-10032","Guayas",28,8,"Banca Seguros","Corporativo Empresarial",156.07,1,2,"Si",53241.88,0.293133901357353,86,0,0,"18-30 Jóvenes"
"EC-10033","Pichincha",33,28,"Broker Digital","Individual Premium",149.36,0,4,"Si",59669.67,0.250311422871955,105,0,0,"31-55 Adultos"
"EC-10034","Guayas",39,9,"Banca Seguros","Corporativo Empresarial",30.04,0,2,"Si",53241.88,0.0564217491944312,476,0,0,"31-55 Adultos"
"EC-10035","Guayas",58,1,"Broker Digital","Familiar Estándar",71.04,0,5,"Si",53241.88,0.133428797029707,351,0,0,"56+ Adultos Mayores"
"EC-10036","Pichincha",38,26,"Banca Seguros","Individual Premium",164.02,1,3,"Si",59669.67,0.274880018609119,60,0,0,"31-55 Adultos"
"EC-10037","Guayas",53,2,"Asesor Directo","Familiar Estándar",23.8,0,4,"No",53241.88,0.044701652158038,498,0,0,"31-55 Adultos"
"EC-10038","Azuay",43,4,"Banca Seguros","Familiar Estándar",171.55,1,3,"Si",16510.84,1.03901436874199,11,0,0,"31-55 Adultos"
"EC-10039","Guayas",60,14,"Broker Digital","Corporativo Empresarial",119.64,0,4,"No",53241.88,0.224710322024692,190,0,0,"56+ Adultos Mayores"
"EC-10040","Pichincha",39,38,"Asesor Directo","Familiar Estándar",163.27,0,5,"No",59669.67,0.273623098636208,63,0,0,"31-55 Adultos"
"EC-10041","Manabí",32,15,"Banca Seguros","Familiar Estándar",128.96,0,5,"No",11778.96,1.09483349973173,41,0,0,"31-55 Adultos"
"EC-10042","Guayas",70,46,"Banca Seguros","Familiar Estándar",67.63,0,3,"No",53241.88,0.127024064514626,359,0,0,"56+ Adultos Mayores"
"EC-10043","Guayas",62,40,"Banca Seguros","Individual Premium",69.89,0,4,"No",53241.88,0.131268843248961,352,0,0,"56+ Adultos Mayores"
"EC-10044","Pichincha",29,23,"Asesor Directo","Individual Premium",94.27,1,5,"No",59669.67,0.157986461128409,315,0,0,"18-30 Jóvenes"
"EC-10045","Pichincha",44,23,"Asesor Directo","Corporativo Empresarial",155.22,1,5,"No",59669.67,0.260132157593632,87,0,0,"31-55 Adultos"
"EC-10046","Manabí",19,23,"Banca Seguros","Individual Premium",136.74,0,3,"No",11778.96,1.16088347358341,31,0,0,"18-30 Jóvenes"
"EC-10047","Pichincha",61,17,"Asesor Directo","Individual Premium",72.98,0,4,"Si",59669.67,0.122306692830713,394,0,0,"56+ Adultos Mayores"
"EC-10048","Guayas",25,31,"Banca Seguros","Corporativo Empresarial",99.51,0,4,"No",53241.88,0.18690173975825,257,0,0,"18-30 Jóvenes"
"EC-10049","Pichincha",41,54,"Banca Seguros","Individual Premium",71.04,2,4,"No",59669.67,0.119055459834117,402,0,0,"31-55 Adultos"
"EC-10050","Tungurahua",29,26,"Banca Seguros","Individual Premium",111.66,0,3,"No",6921.02,1.61334600969221,29,0,0,"18-30 Jóvenes"
"EC-10051","Guayas",54,60,"Banca Seguros","Familiar Estándar",127.33,3,4,"No",53241.88,0.239153839045503,171,0,0,"31-55 Adultos"
"EC-10052","Tungurahua",61,28,"Banca Seguros","Familiar Estándar",125.3,0,3,"No",6921.02,1.8104267868031,26,0,0,"56+ Adultos Mayores"
"EC-10053","Manabí",48,20,"Banca Seguros","Familiar Estándar",131.26,0,3,"No",11778.96,1.1143598416159,35,0,0,"31-55 Adultos"
"EC-10054","Guayas",26,34,"Banca Seguros","Individual Premium",31.95,0,3,"No",53241.88,0.0600091506911477,470,0,0,"18-30 Jóvenes"
"EC-10055","Guayas",39,25,"Banca Seguros","Individual Premium",178.33,0,2,"Si",53241.88,0.33494309366987,7,0,0,"31-55 Adultos"
"EC-10056","Guayas",61,47,"Broker Digital","Individual Premium",142.27,2,2,"Si",53241.88,0.267214455988406,132,1,142.27,"56+ Adultos Mayores"
"EC-10057","Pichincha",28,43,"Asesor Directo","Familiar Estándar",99.51,2,1,"Si",59669.67,0.166768142005813,297,1,99.51,"18-30 Jóvenes"
"EC-10058","Tungurahua",70,36,"Broker Digital","Corporativo Empresarial",100.94,0,3,"No",6921.02,1.45845554556987,33,0,0,"56+ Adultos Mayores"
"EC-10059","Pichincha",47,55,"Broker Digital","Corporativo Empresarial",111.1,0,2,"No",59669.67,0.186191745320529,258,0,0,"31-55 Adultos"
"EC-10060","Pichincha",64,16,"Asesor Directo","Individual Premium",101.97,1,4,"Si",59669.67,0.170890839516961,285,0,0,"56+ Adultos Mayores"
"EC-10061","Manabí",19,2,"Asesor Directo","Individual Premium",130.33,0,5,"No",11778.96,1.1064644077236,38,0,0,"18-30 Jóvenes"
"EC-10062","Guayas",59,8,"Banca Seguros","Familiar Estándar",125.57,0,5,"No",53241.88,0.235848170650623,175,0,0,"56+ Adultos Mayores"
"EC-10063","Guayas",44,19,"Asesor Directo","Familiar Estándar",33.03,0,1,"No",53241.88,0.0620376290243695,466,0,0,"31-55 Adultos"
"EC-10064","Pichincha",24,7,"Asesor Directo","Individual Premium",128.34,0,3,"Si",59669.67,0.215084145764507,186,0,0,"18-30 Jóvenes"
"EC-10065","Pichincha",60,2,"Asesor Directo","Corporativo Empresarial",99.51,0,5,"No",59669.67,0.166768142005813,297,0,0,"56+ Adultos Mayores"
"EC-10066","Guayas",30,11,"Banca Seguros","Individual Premium",171.64,0,3,"Si",53241.88,0.322377797327968,28,0,0,"18-30 Jóvenes"
"EC-10067","Guayas",19,37,"Asesor Directo","Individual Premium",65.31,0,2,"Si",53241.88,0.122666592539557,371,0,0,"18-30 Jóvenes"
"EC-10068","Guayas",50,3,"Banca Seguros","Individual Premium",151.6,0,1,"Si",53241.88,0.284738254922629,97,0,0,"31-55 Adultos"
"EC-10069","Guayas",25,39,"Broker Digital","Familiar Estándar",178.55,0,2,"No",53241.88,0.33535630221923,5,0,0,"18-30 Jóvenes"
"EC-10070","Manabí",61,36,"Banca Seguros","Individual Premium",106.81,0,4,"No",11778.96,0.906786337673275,55,0,0,"56+ Adultos Mayores"
"EC-10071","Pichincha",50,45,"Asesor Directo","Familiar Estándar",63.95,3,3,"Si",59669.67,0.107173376356866,428,0,0,"31-55 Adultos"
"EC-10072","Guayas",39,54,"Asesor Directo","Familiar Estándar",118.29,1,2,"No",53241.88,0.222174724108165,194,0,0,"31-55 Adultos"
"EC-10073","Azuay",21,52,"Asesor Directo","Familiar Estándar",103.93,0,1,"No",16510.84,0.629465248285369,81,0,0,"18-30 Jóvenes"
"EC-10074","Pichincha",61,37,"Banca Seguros","Familiar Estándar",121.2,1,5,"No",59669.67,0.203118267622395,217,0,0,"56+ Adultos Mayores"
"EC-10075","Guayas",34,30,"Broker Digital","Individual Premium",153.26,1,5,"No",53241.88,0.287856101249618,91,0,0,"31-55 Adultos"
"EC-10076","Guayas",66,4,"Asesor Directo","Individual Premium",178.84,1,2,"Si",53241.88,0.335900986216114,3,0,0,"56+ Adultos Mayores"
"EC-10077","Guayas",58,40,"Banca Seguros","Familiar Estándar",107.55,0,4,"No",53241.88,0.20200263401668,233,0,0,"56+ Adultos Mayores"
"EC-10078","Pichincha",27,21,"Banca Seguros","Familiar Estándar",152.58,3,2,"Si",59669.67,0.255707799288986,98,1,152.58,"18-30 Jóvenes"
"EC-10079","Manabí",69,8,"Asesor Directo","Individual Premium",148.92,0,4,"Si",11778.96,1.2642881884309,18,0,0,"56+ Adultos Mayores"
"EC-10080","Pichincha",70,5,"Asesor Directo","Corporativo Empresarial",86.22,1,2,"Si",59669.67,0.144495520085833,340,0,0,"56+ Adultos Mayores"
"EC-10081","Tungurahua",51,11,"Banca Seguros","Familiar Estándar",57.34,0,3,"No",6921.02,0.828490598206623,51,0,0,"31-55 Adultos"
"EC-10082","Azuay",68,46,"Banca Seguros","Familiar Estándar",63.21,0,4,"No",16510.84,0.38283939520945,121,0,0,"56+ Adultos Mayores"
"EC-10083","Tungurahua",20,59,"Banca Seguros","Corporativo Empresarial",131.55,0,4,"No",6921.02,1.90073139508338,25,0,0,"18-30 Jóvenes"
"EC-10084","Pichincha",29,34,"Banca Seguros","Familiar Estándar",96.59,0,2,"Si",59669.67,0.161874533577947,305,0,0,"18-30 Jóvenes"
"EC-10085","Tungurahua",60,53,"Banca Seguros","Individual Premium",32.89,2,4,"No",6921.02,0.475218970614158,59,0,0,"56+ Adultos Mayores"
"EC-10086","Guayas",28,36,"Banca Seguros","Familiar Estándar",132.39,2,4,"Si",53241.88,0.248657635680784,158,0,0,"18-30 Jóvenes"
"EC-10087","Manabí",48,11,"Broker Digital","Individual Premium",148.08,1,5,"Si",11778.96,1.25715682878624,19,0,0,"31-55 Adultos"
"EC-10088","Pichincha",66,37,"Banca Seguros","Individual Premium",131.97,0,3,"Si",59669.67,0.221167638433395,175,0,0,"56+ Adultos Mayores"
"EC-10089","Pichincha",43,36,"Asesor Directo","Familiar Estándar",45.5,2,3,"No",59669.67,0.0762531450232589,499,0,0,"31-55 Adultos"
"EC-10090","Manabí",20,40,"Asesor Directo","Familiar Estándar",23.31,1,2,"Si",11778.96,0.197895230139163,116,0,0,"18-30 Jóvenes"
"EC-10091","Guayas",28,53,"Banca Seguros","Familiar Estándar",132.72,0,5,"No",53241.88,0.249277448504824,157,0,0,"18-30 Jóvenes"
"EC-10092","Azuay",20,19,"Banca Seguros","Familiar Estándar",145.32,0,2,"Si",16510.84,0.880149041478205,37,0,0,"18-30 Jóvenes"
"EC-10093","Pichincha",31,3,"Banca Seguros","Individual Premium",136.86,0,3,"Si",59669.67,0.229362756656774,150,0,0,"31-55 Adultos"
"EC-10094","Pichincha",65,32,"Broker Digital","Individual Premium",66.3,0,4,"Si",59669.67,0.11111172560532,417,0,0,"56+ Adultos Mayores"
"EC-10095","Pichincha",50,39,"Broker Digital","Familiar Estándar",67.73,0,5,"No",59669.67,0.113508253020337,409,0,0,"31-55 Adultos"
"EC-10096","Azuay",25,17,"Broker Digital","Corporativo Empresarial",137.62,0,3,"Si",16510.84,0.833513013268859,49,0,0,"18-30 Jóvenes"
"EC-10097","Pichincha",64,51,"Banca Seguros","Familiar Estándar",162.1,0,4,"No",59669.67,0.271662303478467,67,0,0,"56+ Adultos Mayores"
"EC-10098","Guayas",35,46,"Asesor Directo","Familiar Estándar",40.54,1,2,"Si",53241.88,0.0761430663229773,443,0,0,"31-55 Adultos"
"EC-10099","Pichincha",42,18,"Asesor Directo","Familiar Estándar",76.42,0,3,"No",59669.67,0.128071765773131,375,0,0,"31-55 Adultos"
"EC-10100","Pichincha",43,21,"Banca Seguros","Corporativo Empresarial",84.22,0,1,"Si",59669.67,0.141143733491404,346,0,0,"31-55 Adultos"
"EC-10101","Azuay",63,24,"Asesor Directo","Familiar Estándar",174.76,0,3,"No",16510.84,1.05845614154095,6,0,0,"56+ Adultos Mayores"
"EC-10102","Guayas",31,27,"Banca Seguros","Individual Premium",33.41,0,5,"No",53241.88,0.062751352882355,465,0,0,"31-55 Adultos"
"EC-10103","Pichincha",61,15,"Asesor Directo","Individual Premium",99.51,0,2,"No",59669.67,0.166768142005813,297,0,0,"56+ Adultos Mayores"
"EC-10104","Pichincha",53,26,"Asesor Directo","Corporativo Empresarial",176.94,0,4,"No",59669.67,0.29653256000913,16,0,0,"31-55 Adultos"
"EC-10105","Pichincha",68,56,"Banca Seguros","Familiar Estándar",51.13,0,3,"No",59669.67,0.0856884242865764,474,0,0,"56+ Adultos Mayores"
"EC-10106","Guayas",31,28,"Banca Seguros","Individual Premium",65.11,0,2,"Si",53241.88,0.122290948403775,373,0,0,"31-55 Adultos"
"EC-10107","Guayas",18,56,"Banca Seguros","Corporativo Empresarial",130.26,0,2,"Si",53241.88,0.244657025634707,164,0,0,"18-30 Jóvenes"
"EC-10108","Pichincha",68,50,"Banca Seguros","Familiar Estándar",112.01,2,5,"No",59669.67,0.187716808220994,252,0,0,"56+ Adultos Mayores"
"EC-10109","Guayas",65,36,"Banca Seguros","Individual Premium",140.87,0,4,"Si",53241.88,0.264584947037933,133,0,0,"56+ Adultos Mayores"
"EC-10110","Guayas",20,2,"Banca Seguros","Familiar Estándar",161.53,0,4,"No",53241.88,0.303388986264197,72,0,0,"18-30 Jóvenes"
"EC-10111","Azuay",55,56,"Asesor Directo","Familiar Estándar",119.25,0,5,"No",16510.84,0.722252774540847,66,0,0,"31-55 Adultos"
"EC-10112","Pichincha",26,45,"Banca Seguros","Corporativo Empresarial",91.46,1,3,"No",59669.67,0.153277200963236,325,0,0,"18-30 Jóvenes"
"EC-10113","Pichincha",32,18,"Asesor Directo","Individual Premium",135.77,0,4,"No",59669.67,0.22753603296281,155,0,0,"31-55 Adultos"
"EC-10114","Pichincha",47,35,"Banca Seguros","Individual Premium",47.16,0,5,"No",59669.67,0.0790351278966349,491,0,0,"31-55 Adultos"
"EC-10115","Pichincha",52,38,"Banca Seguros","Individual Premium",146.66,2,1,"Si",59669.67,0.245786510969476,114,1,146.66,"31-55 Adultos"
"EC-10116","Guayas",66,53,"Banca Seguros","Familiar Estándar",54.62,0,4,"No",53241.88,0.102588413482018,404,0,0,"56+ Adultos Mayores"
"EC-10117","Pichincha",64,59,"Banca Seguros","Individual Premium",22.84,0,3,"Si",59669.67,0.0382774029083787,566,0,0,"56+ Adultos Mayores"
"EC-10118","Pichincha",33,55,"Broker Digital","Individual Premium",119.67,1,3,"Si",59669.67,0.200554150877657,224,0,0,"31-55 Adultos"
"EC-10119","Azuay",54,48,"Banca Seguros","Individual Premium",174.02,3,3,"Si",16510.84,1.05397423753122,9,0,0,"31-55 Adultos"
"EC-10120","Guayas",40,44,"Asesor Directo","Corporativo Empresarial",66.13,0,4,"Si",53241.88,0.124206733496263,366,0,0,"31-55 Adultos"
"EC-10121","Pichincha",47,19,"Broker Digital","Individual Premium",64.1,0,3,"No",59669.67,0.107424760351448,427,0,0,"31-55 Adultos"
"EC-10122","Guayas",39,26,"Asesor Directo","Corporativo Empresarial",67.87,0,4,"Si",53241.88,0.127474837477565,357,0,0,"31-55 Adultos"
"EC-10123","Azuay",50,8,"Banca Seguros","Familiar Estándar",134.91,3,3,"Si",16510.84,0.817099553989985,52,0,0,"31-55 Adultos"
"EC-10124","Guayas",34,22,"Banca Seguros","Individual Premium",77.37,0,4,"No",53241.88,0.145317933927202,332,0,0,"31-55 Adultos"
"EC-10125","Pichincha",53,56,"Asesor Directo","Familiar Estándar",68.4,0,4,"No",59669.67,0.114631101529471,406,0,0,"31-55 Adultos"
"EC-10126","Pichincha",63,14,"Banca Seguros","Individual Premium",163.22,1,3,"No",59669.67,0.273539303971348,64,0,0,"56+ Adultos Mayores"
"EC-10127","Guayas",62,46,"Broker Digital","Individual Premium",151.09,0,2,"No",53241.88,0.283780362376385,101,0,0,"56+ Adultos Mayores"
"EC-10128","Pichincha",31,4,"Asesor Directo","Familiar Estándar",167.43,0,2,"No",59669.67,0.280594814752621,41,0,0,"31-55 Adultos"
"EC-10129","Guayas",59,54,"Asesor Directo","Individual Premium",73.2,0,1,"Si",53241.88,0.13748575369615,347,0,0,"56+ Adultos Mayores"
"EC-10130","Pichincha",25,21,"Banca Seguros","Corporativo Empresarial",85.06,0,4,"Si",59669.67,0.142551483861064,344,0,0,"18-30 Jóvenes"
"EC-10131","Guayas",68,20,"Banca Seguros","Individual Premium",91.35,0,4,"No",53241.88,0.171575459018352,292,0,0,"56+ Adultos Mayores"
"EC-10132","Pichincha",68,3,"Asesor Directo","Familiar Estándar",40.31,2,5,"No",59669.67,0.0675552588107157,512,0,0,"56+ Adultos Mayores"
"EC-10133","Pichincha",19,36,"Banca Seguros","Corporativo Empresarial",143.75,0,2,"No",59669.67,0.240909661474582,123,0,0,"18-30 Jóvenes"
"EC-10134","Manabí",54,26,"Asesor Directo","Corporativo Empresarial",143.8,0,4,"Si",11778.96,1.22082085345396,25,0,0,"31-55 Adultos"
"EC-10135","Pichincha",66,54,"Banca Seguros","Individual Premium",177.46,0,2,"Si",59669.67,0.297404024523682,13,0,0,"56+ Adultos Mayores"
"EC-10136","Pichincha",24,3,"Asesor Directo","Individual Premium",21.11,1,3,"No",59669.67,0.0353781075041977,571,0,0,"18-30 Jóvenes"
"EC-10137","Guayas",68,8,"Banca Seguros","Familiar Estándar",73.6,0,4,"No",53241.88,0.138237041967714,343,0,0,"56+ Adultos Mayores"
"EC-10138","Guayas",19,20,"Asesor Directo","Individual Premium",122.85,0,1,"Si",53241.88,0.23073941040399,181,0,0,"18-30 Jóvenes"
"EC-10139","Pichincha",20,2,"Asesor Directo","Corporativo Empresarial",148.88,0,4,"No",59669.67,0.249506994089292,108,0,0,"18-30 Jóvenes"
"EC-10140","Guayas",45,43,"Broker Digital","Familiar Estándar",99.93,0,4,"No",53241.88,0.187690592443392,255,0,0,"31-55 Adultos"
"EC-10141","Pichincha",66,58,"Asesor Directo","Familiar Estándar",45.57,0,2,"No",59669.67,0.0763704575540639,497,0,0,"56+ Adultos Mayores"
"EC-10142","Guayas",66,15,"Asesor Directo","Individual Premium",169.38,2,3,"Si",53241.88,0.318133018593633,41,0,0,"56+ Adultos Mayores"
"EC-10143","Guayas",38,7,"Banca Seguros","Individual Premium",143.26,0,2,"No",53241.88,0.269073894460526,129,0,0,"31-55 Adultos"
"EC-10144","Manabí",42,60,"Broker Digital","Corporativo Empresarial",28.18,0,3,"Si",11778.96,0.239240136650434,112,0,0,"31-55 Adultos"
"EC-10145","Pichincha",50,36,"Broker Digital","Individual Premium",63.03,3,5,"No",59669.67,0.105631554523429,432,0,0,"31-55 Adultos"
"EC-10146","Pichincha",44,1,"Banca Seguros","Familiar Estándar",77.32,1,4,"Si",59669.67,0.129580069740624,369,0,0,"31-55 Adultos"
"EC-10147","Guayas",20,50,"Asesor Directo","Individual Premium",151.54,0,2,"Si",53241.88,0.284625561681894,98,0,0,"18-30 Jóvenes"
"EC-10148","Guayas",35,54,"Banca Seguros","Individual Premium",35.54,0,4,"No",53241.88,0.0667519629284315,457,0,0,"31-55 Adultos"
"EC-10149","Pichincha",50,1,"Broker Digital","Familiar Estándar",138.84,0,3,"Si",59669.67,0.232681025385259,142,0,0,"31-55 Adultos"
"EC-10150","Pichincha",24,42,"Banca Seguros","Corporativo Empresarial",132.65,0,2,"Si",59669.67,0.222307245875501,171,0,0,"18-30 Jóvenes"
"EC-10151","Pichincha",19,30,"Asesor Directo","Individual Premium",157.49,1,2,"Si",59669.67,0.263936435378309,78,0,0,"18-30 Jóvenes"
"EC-10152","Tungurahua",51,2,"Banca Seguros","Corporativo Empresarial",89.26,1,4,"Si",6921.02,1.28969429361568,40,0,0,"31-55 Adultos"
"EC-10153","Guayas",23,7,"Banca Seguros","Individual Premium",76.87,4,3,"Si",53241.88,0.144378823587747,334,0,0,"18-30 Jóvenes"
"EC-10154","Azuay",57,26,"Asesor Directo","Familiar Estándar",67.01,0,3,"No",16510.84,0.405854577962115,117,0,0,"56+ Adultos Mayores"
"EC-10155","Guayas",22,12,"Broker Digital","Familiar Estándar",84.97,1,4,"No",53241.88,0.159592411086911,312,0,0,"18-30 Jóvenes"
"EC-10156","Pichincha",42,18,"Banca Seguros","Familiar Estándar",59.97,0,3,"Si",59669.67,0.100503321033952,447,0,0,"31-55 Adultos"
"EC-10157","Guayas",18,56,"Asesor Directo","Familiar Estándar",65.41,0,4,"Si",53241.88,0.122854414607448,370,0,0,"18-30 Jóvenes"
"EC-10158","Azuay",27,40,"Asesor Directo","Individual Premium",132.44,1,3,"Si",16510.84,0.802139685200753,54,0,0,"18-30 Jóvenes"
"EC-10159","Pichincha",58,4,"Asesor Directo","Individual Premium",47,1,4,"No",59669.67,0.0787669849690806,493,0,0,"56+ Adultos Mayores"
"EC-10160","Pichincha",66,23,"Banca Seguros","Individual Premium",160.39,1,3,"No",59669.67,0.268796525940231,73,0,0,"56+ Adultos Mayores"
"EC-10161","Guayas",68,56,"Broker Digital","Familiar Estándar",41.13,0,1,"Si",53241.88,0.0772512165235337,442,0,0,"56+ Adultos Mayores"
"EC-10162","Manabí",50,19,"Banca Seguros","Familiar Estándar",119.8,0,1,"No",11778.96,1.01706772074954,44,0,0,"31-55 Adultos"
"EC-10163","Pichincha",18,19,"Broker Digital","Corporativo Empresarial",99.51,0,5,"No",59669.67,0.166768142005813,297,0,0,"18-30 Jóvenes"
"EC-10164","Pichincha",51,53,"Asesor Directo","Familiar Estándar",18.89,2,3,"Si",59669.67,0.0316576243843815,581,0,0,"31-55 Adultos"
"EC-10165","Pichincha",62,32,"Asesor Directo","Individual Premium",155.1,0,4,"No",59669.67,0.259931050397966,89,0,0,"56+ Adultos Mayores"
"EC-10166","Pichincha",36,60,"Banca Seguros","Individual Premium",132.98,0,3,"Si",59669.67,0.222860290663582,170,0,0,"31-55 Adultos"
"EC-10167","Guayas",37,6,"Asesor Directo","Familiar Estándar",23.42,0,5,"No",53241.88,0.0439879283000525,500,0,0,"31-55 Adultos"
"EC-10168","Guayas",52,38,"Broker Digital","Individual Premium",167.17,0,4,"Si",53241.88,0.313982150893244,48,0,0,"31-55 Adultos"
"EC-10169","Pichincha",19,3,"Asesor Directo","Familiar Estándar",43.09,0,4,"No",59669.67,0.072214242176972,502,0,0,"18-30 Jóvenes"
"EC-10170","Azuay",43,39,"Banca Seguros","Individual Premium",144.45,0,1,"Si",16510.84,0.874879775953253,41,0,0,"31-55 Adultos"
"EC-10171","Guayas",48,44,"Banca Seguros","Individual Premium",75.32,0,3,"No",53241.88,0.141467581535438,339,0,0,"31-55 Adultos"
"EC-10172","Guayas",35,41,"Banca Seguros","Familiar Estándar",57.2,0,3,"No",53241.88,0.107434222833604,395,0,0,"31-55 Adultos"
"EC-10173","Azuay",49,16,"Broker Digital","Individual Premium",143.39,0,4,"No",16510.84,0.868459751290667,42,0,0,"31-55 Adultos"
"EC-10174","Pichincha",61,45,"Banca Seguros","Corporativo Empresarial",31.58,2,1,"Si",59669.67,0.0529247103260333,535,1,31.58,"56+ Adultos Mayores"
"EC-10175","Guayas",32,4,"Broker Digital","Individual Premium",20.65,0,4,"Si",53241.88,0.0387852570194741,504,0,0,"31-55 Adultos"
"EC-10176","Manabí",38,11,"Banca Seguros","Familiar Estándar",99.51,0,4,"Si",11778.96,0.844811426475682,62,0,0,"31-55 Adultos"
"EC-10177","Manabí",66,53,"Banca Seguros","Familiar Estándar",147.37,0,2,"Si",11778.96,1.25112913194374,20,0,0,"56+ Adultos Mayores"
